timestamp,fps,lane_confidence,target_x,risk,steering,throttle,state,armed
1786509446.2017763,12.448701682788283,0.782258064516129,139.103739833619,0.0,1.0,0.11,avoid:white,0
1786509446.2727532,12.235960942948385,0.5100806451612904,149.70437050187547,0.0,1.0,0.11,avoid:white,0
1786509446.360581,12.588269413027827,0.782258064516129,143.09655732491382,0.0,1.0,0.11,avoid:white,0
1786509446.4476519,12.35820252635468,0.6794354838709677,145.62947777992133,0.0,1.0,0.11,avoid:white,0
1786509446.530592,12.184276943593462,0.6673387096774193,146.97770516675658,0.0,1.0,0.11,avoid:white,0
1786509446.6245294,12.140626948003375,0.7943548387096775,148.92090256267088,0.0,1.0,0.11,avoid:white,0
1786509446.7159524,11.822198321777014,0.8548387096774193,148.94496219369816,0.0,1.0,0.11,avoid:white,0
1786509446.817967,11.668407518786742,0.8185483870967742,151.4099355141046,0.0,1.0,0.11,avoid:white,0
1786509446.9081888,11.291959580857629,0.8306451612903225,152.6481042856412,0.0,1.0,0.11,avoid:white,0
1786509446.9948277,11.26742158911804,0.842741935483871,153.98276965425345,0.0,1.0,0.11,avoid:white,0
1786509447.0836768,11.314636815084096,0.8608870967741936,154.46954452155683,0.0,1.0,0.11,avoid:white,0
1786509447.170832,11.306610705431572,0.8669354838709677,155.34369985728966,0.0,1.0,0.11,avoid:white,0
1786509447.25673,11.344116335744467,0.8185483870967742,157.62278888393286,0.0,1.0,0.11,avoid:white,0
1786509447.347184,11.392547678952248,0.8185483870967742,157.78692512984736,0.0,1.0,0.11,avoid:white,0
1786509447.436758,11.334079594007095,0.8185483870967742,157.7599899149376,0.0,1.0,0.11,avoid:white,0
1786509447.5246825,11.287954730942761,0.8245967741935484,157.77819095868506,0.0,1.0,0.11,avoid:white,0
1786509447.6065922,11.297328484732589,0.8185483870967742,157.77764770680164,0.0,1.0,0.11,avoid:white,0
1786509447.6940289,11.486473728757476,0.8185483870967742,157.71387136823887,0.0,1.0,0.11,avoid:white,0
1786509447.7789993,11.483977365802671,0.8185483870967742,157.77490738508482,0.0,1.0,0.11,avoid:white,0
1786509447.8669477,11.509560269132987,0.8185483870967742,157.68973216178824,0.0,1.0,0.11,avoid:white,0
1786509447.9573028,11.522018799549594,0.8185483870967742,157.81134041414526,0.0,1.0,0.11,avoid:white,0
1786509448.0448518,11.41231617296968,0.8185483870967742,157.81845504579016,0.0,1.0,0.11,avoid:white,0
1786509448.1302233,11.420980490796573,0.8185483870967742,157.78651414932102,0.0,1.0,0.11,avoid:white,0
1786509448.2237508,11.47521902111973,0.8185483870967742,157.6562320365348,0.0,1.0,0.11,avoid:white,0
1786509448.309965,11.330094830327003,0.8185483870967742,157.7796005612454,0.0,1.0,0.11,avoid:white,0
1786509448.3937333,11.388776900732474,0.8245967741935484,157.74688305208701,0.0,1.0,0.11,avoid:white,0
1786509448.4919693,11.477943968721142,0.8185483870967742,157.75703068434717,0.0,1.0,0.11,avoid:white,0
1786509448.5790706,11.206558206265068,0.8185483870967742,157.6706793056169,0.0,1.0,0.11,avoid:white,0
1786509448.6763093,11.255606092490098,0.8185483870967742,157.6768148793248,0.0,1.0,0.11,avoid:white,0
1786509448.7630591,11.09294297894501,0.8245967741935484,157.7579263633083,0.0,1.0,0.11,avoid:white,0
1786509448.873592,11.17027923707936,0.8245967741935484,157.77036048957808,0.0,1.0,0.11,avoid:white,1
1786509448.9660654,10.744398389323036,0.8185483870967742,157.7467004746281,0.0,1.0,0.11,avoid:white,1
1786509449.055639,10.737866128651078,0.8245967741935484,157.67913515347357,0.0,1.0,0.11,avoid:white,1
1786509449.1443722,10.8428449373818,0.8185483870967742,157.6716188242981,0.0,1.0,0.11,avoid:white,1
1786509449.2404637,10.942794193256997,0.8185483870967742,157.68368384340405,0.0,1.0,0.11,avoid:white,1
1786509449.3440223,10.833059393788629,0.8245967741935484,157.64788620318916,0.0,1.0,0.11,avoid:white,1
1786509449.43906,10.593918088741194,0.8185483870967742,157.74919115325844,0.0,1.0,0.11,avoid:white,1
1786509449.5340292,10.582321335233715,0.8245967741935484,157.60383453911754,0.0,1.0,0.11,avoid:white,1
1786509449.6304407,10.56314624432917,0.8245967741935484,157.80926198798545,0.0,1.0,0.11,avoid:white,1
1786509449.7191904,10.528450083732363,0.8185483870967742,157.76670894788668,0.0,1.0,0.11,avoid:white,1
1786509449.804534,10.680564917341538,0.8185483870967742,157.8169709494448,0.0,1.0,0.11,avoid:white,1
1786509449.895872,10.889964073163537,0.8185483870967742,157.66684885677762,0.0,1.0,0.11,avoid:white,1
1786509449.984321,10.855077912585225,0.8185483870967742,157.83647282353485,0.0,1.0,0.11,avoid:white,1
1786509450.0764225,10.981054295053928,0.8185483870967742,157.65887964517538,0.0,1.0,0.11,avoid:white,1
1786509450.167617,10.969386275016797,0.8185483870967742,157.4245033641742,0.0,1.0,0.11,avoid:white,1
1786509450.2544675,10.954801291140896,0.7762096774193549,155.02912136035104,0.0,1.0,0.11,avoid:white,1
1786509450.3477817,11.076297998093628,0.8608870967741936,153.98107184219293,0.0,1.0,0.11,avoid:white,1
1786509450.4373987,10.995743316711248,0.8366935483870968,153.27449718233862,0.0,1.0,0.11,avoid:white,1
1786509450.5228744,11.00814239809134,0.5161290322580645,156.02406088182116,0.0,1.0,0.11,avoid:white,1
1786509450.612447,11.149858986623165,0.8185483870967742,150.85162297454565,0.0,1.0,0.11,avoid:white,1
1786509450.7038765,11.179713013675924,0.8608870967741936,147.98836519288727,0.0,1.0,0.11,avoid:white,1
1786509450.7838566,11.105727899994692,0.467741935483871,155.48910282462737,0.0,1.0,0.11,avoid:white,1
1786509450.8602488,11.427469996037601,0.467741935483871,161.48033936191428,0.0,1.0,0.11,avoid:white,1
1786509450.947736,11.750767970137964,0.8306451612903225,145.29692488156235,0.0,1.0,0.11,avoid:white,1
1786509451.0285156,11.696886580256642,0.3947350230414747,154.08913308913313,0.0,1.0,0.11,avoid:white,1
1786509451.0986416,11.821127686769158,0.3744009216589862,179.153113553107,0.0,1.0,0.11,avoid:white,1
1786509451.1903117,12.313631025743693,0.8245967741935484,151.153113553107,0.0,1.0,0.11,avoid:white,1
1786509451.2733407,12.03356768500417,0.6673387096774193,140.84990632422986,0.0,1.0,0.11,avoid:white,1
1786509451.3625262,12.026019593502053,0.6673387096774193,139.38533917556543,0.0,1.0,0.11,avoid:white,1
1786509451.4431229,11.869667374576485,0.4737903225806452,146.4895867527453,0.0,1.0,0.11,avoid:white,1
1786509451.5314972,11.987229925429265,0.685483870967742,137.22325620389003,0.0,1.0,0.11,avoid:white,1
1786509451.6172225,11.855441819819635,0.7762096774193549,134.13817443544477,0.0,1.0,0.11,avoid:white,1
1786509451.7028117,11.801861220055969,0.752016129032258,132.74356550338808,0.0,1.0,0.11,avoid:white,1
1786509451.7906103,11.760061622845766,0.782258064516129,131.6930893593039,0.0,1.0,0.11,avoid:white,1
1786509451.875828,11.717128616623196,0.7762096774193549,130.94826767080625,0.0,1.0,0.11,avoid:white,1
1786509451.9619632,11.713288722968551,0.7701612903225807,129.75204126266686,0.0,1.0,0.11,avoid:white,1
1786509452.044902,11.692105172988027,0.7580645161290323,128.46577797148825,0.0,1.0,0.11,avoid:white,1
1786509452.1306472,11.752329584929289,0.7399193548387096,127.46765829053224,0.0,1.0,0.11,avoid:white,1
1786509452.2136624,11.745233035190761,0.7883064516129032,123.69863089254784,0.0,1.0,0.11,avoid:white,1
1786509452.2817922,11.801829933103319,0.3875921658986175,128.944444444445,0.0,1.0,0.11,avoid:white,1
1786509452.3624403,12.375363526342738,0.3744009216589862,141.87094017093244,0.0,1.0,0.11,avoid:white,1
1786509452.437081,12.383739751507457,0.3611635944700461,167.96459096459068,0.0,1.0,0.11,avoid:white,1
1786509452.5193076,12.58383210280595,0.6068548387096775,139.96459096459068,0.0,1.0,0.11,avoid:white,1
1786509452.604801,12.457998614245229,0.6491935483870968,114.03463349644201,0.0,1.0,0.11,avoid:white,1
1786509452.6906092,12.328051677084648,0.6794354838709677,112.52395652453501,0.0,1.0,0.11,avoid:white,1
1786509452.7756946,12.222316191368874,0.655241935483871,110.47979056481904,0.0,1.0,0.11,avoid:white,1
1786509452.8536012,12.116653603261986,0.5282258064516129,118.14747568188824,0.0,1.0,0.11,avoid:white,1
1786509452.940182,12.27408962299421,0.7399193548387096,105.58399995646559,0.0,1.0,0.11,avoid:white,1
1786509453.0258915,12.124161136410818,0.5161290322580645,116.02704445874281,0.0,1.0,0.11,avoid:white,1
1786509453.1133692,12.028331799297368,0.5100806451612904,100.13449993001862,0.0,1.0,0.11,avoid:white,1
1786509453.2068584,11.909556232455005,0.7701612903225807,98.50165852591702,0.0,1.0,0.11,avoid:white,1
1786509453.2965012,11.654655709020023,0.8245967741935484,94.63929211366076,0.0,1.0,0.11,avoid:white,1
1786509453.3795676,11.5772231209143,0.4616935483870968,112.3946179946188,0.0,1.0,0.11,avoid:white,1
1786509453.4564419,11.670216372112039,0.4616935483870968,112.35191295191296,0.0,1.0,0.11,avoid:white,1
1786509453.5290158,11.932478503175195,0.3761635944700461,116.44444444444491,0.0,1.0,0.11,avoid:white,1
1786509453.6067834,12.309681302154143,0.6431451612903225,88.44444444444491,0.0,1.0,0.11,avoid:white,1
1786509453.6802435,12.41443209516558,0.33301843317972346,88.11580951658904,0.0,1.0,0.11,avoid:white,1
1786509453.7689822,12.639910104880794,0.6975806451612904,78.54623063582684,0.0,1.0,0.11,avoid:white,1
1786509453.8495414,12.376793545339801,0.685483870967742,76.68275592093849,0.0,1.0,0.11,avoid:white,1
1786509453.9307966,12.373311033939855,0.7399193548387096,73.19189262969331,0.0,1.0,0.11,avoid:white,1
1786509454.0159152,12.365722551939731,0.7399193548387096,70.36681420891239,0.0,1.0,0.11,avoid:white,1
1786509454.100391,12.234975398574592,0.8004032258064516,66.35400671366898,0.0,1.0,0.11,avoid:white,1
1786509454.1823452,12.170880465366173,0.8245967741935484,63.40998267945926,0.0,1.0,0.11,avoid:white,1
1786509454.266112,12.13108862178346,0.8669354838709677,60.050545754944494,0.0,1.0,0.11,avoid:white,1
1786509454.3465605,12.1062929715512,0.8366935483870968,58.764646377961185,0.0,1.0,0.11,avoid:white,1
1786509454.427338,12.20315394727821,0.8366935483870968,56.23557817173133,0.0,1.0,0.11,avoid:white,1
1786509454.509882,12.239898066957313,0.939516129032258,47.29276746116943,0.0,1.0,0.11,avoid:white,1
1786509454.5745122,12.165615206524649,0.4616935483870968,67.18603018602728,0.0,1.0,0.11,avoid:white,1
1786509454.6578033,12.895902441065985,0.939516129032258,43.24509072315254,0.0,1.0,0.11,avoid:white,1
1786509454.7382402,12.712341571964645,0.8911290322580645,40.460997181857806,0.0,1.0,0.11,avoid:white,1
