timestamp,dt_ms,inference_ms,fps,lane_confidence,target_x,near_x,heading_error,curvature,risk,white_front,raw_steering,filtered_steering,steering,effective_steering,curve_load,throttle,throttle_max,state,armed,competition,green,start_authorized,start_latency_ms
1787282263.8151603,35.793334000004506,32.267247999982374,26.041132606846965,0.8911290322580645,91.63221029554072,89.73347034253345,0.027124856471532358,0.0518577799480645,0.0,0.0,-0.09875678165373143,-0.10628177334636466,-0.10628177334636466,-0.2125635466927293,0.49917736311015404,0.49162473638488335,1.0,follow,1,0,0,0,-1.0
1787282263.852199,41.40799800001105,32.27198800004771,25.662890862813263,0.6270506912442396,93.93427102693575,89.36756914069645,0.06523859837484715,0.0688709885373612,0.0,0.0,-0.07021776449274199,-0.09546257069027785,-0.09546257069027785,-0.1909251413805557,0.4386201442471726,0.4295127393848668,1.0,follow,1,0,0,0,-1.0
1787282263.888174,36.5692519999925,31.84327100001383,25.999388185698017,0.6975806451612904,93.26811549010503,92.3990421449502,0.012415333502211873,0.4680215904440819,0.0,0.0,-0.09376124268602899,-0.09495217228900318,-0.09495217228900318,-0.18990434457800637,0.46214130120470004,0.42420467900239334,1.0,follow,1,0,0,0,-1.0
1787282263.9291587,35.907869000027404,32.5401759999977,26.36932033035993,0.939516129032258,96.31198831802718,91.70331038521905,0.06583825618297315,0.06018509143192741,0.0,0.0,-0.054466312238061185,-0.08280641427372058,-0.08280641427372058,-0.16561282854744117,0.4052410681650531,0.42704783678196256,1.0,follow,1,0,0,0,-1.0
1787282263.9665165,41.556024999977126,32.80685300001096,25.90823611991923,0.7641129032258064,98.12528481092909,95.1355319412496,0.042710755281135604,0.17041040240020783,0.0,0.0,-0.05132670775635664,-0.0733625023185114,-0.0733625023185114,-0.1467250046370228,0.3700164683003263,0.4519814517819488,1.0,follow,1,0,0,0,-1.0
1787282264.0039668,37.15656899998976,32.754454999974314,26.109217200503956,0.8125,99.88636531214003,96.39659634752307,0.04985384235167081,0.0822382692153661,0.0,0.0,-0.03819752864043683,-0.06281301021508902,-0.06281301021508902,-0.12562602043017804,0.32684973843758225,0.4742753931819427,1.0,follow,1,0,0,0,-1.0
1787282264.0454876,37.0575009999925,32.98866700004055,26.28439176223876,0.8911290322580645,101.70226564300533,99.2003837864462,0.03574116937941625,0.12395347750664218,0.0,0.0,-0.032154487647389374,-0.053615453444779124,-0.053615453444779124,-0.10723090688955825,0.29641529929794125,0.49650989378193816,1.0,follow,1,0,0,0,-1.0
1787282264.0851703,42.91246700000784,33.56134699998847,25.688163658586156,0.8911290322580645,103.53076417659743,101.17729578817047,0.033620976977528014,0.005751258087706833,0.0,0.0,-0.022588692423818703,-0.044307425138490994,-0.044307425138490994,-0.08861485027698199,0.2585991181740237,0.5222573739819428,1.0,follow,1,0,0,0,-1.0
1787282264.121679,38.349307000032695,32.39442300002793,25.765749027155053,0.939516129032258,105.52271611640079,102.70437239177966,0.040262053208873286,0.1378430486666328,0.0,0.0,-0.008683376778145355,-0.0336202106303873,-0.0336202106303873,-0.0672404212607746,0.24048570774791506,0.5452669581819625,1.0,follow,1,0,0,0,-1.0
1787282264.1629934,36.455687000000125,32.81928500001641,26.09871171769756,0.939516129032258,107.45200081074768,106.69620505061664,0.010797082287586234,0.02186377700763261,0.0,0.0,-0.007523879944118617,-0.025791311424506698,-0.025791311424506698,-0.051582622849013396,0.20828154829940382,0.5671403703819625,1.0,follow,1,0,0,0,-1.0
1787282264.2025273,43.06856699997752,33.308264000027066,25.522727314841436,0.939516129032258,109.06728456792496,108.58111619135407,0.006945262522441251,0.0748563771211734,0.0,0.0,-0.0004700131452383123,-0.01819492194072618,-0.01819492194072618,-0.03638984388145236,0.18826777262266925,0.592981510581949,1.0,follow,1,0,0,0,-1.0
1787282264.2395065,37.85636999998587,33.139455000025464,25.701308575330117,0.939516129032258,110.28756083985873,111.53038248911797,-0.01775459498941773,0.013217424822753529,0.0,0.0,-0.002892036828606186,-0.013604056407090183,-0.013604056407090183,-0.027208112814180365,0.16269079597768152,0.6156953325819405,1.0,follow,1,0,0,0,-1.0
1787282264.282048,36.88252699998884,33.888287999957356,25.983668797206228,0.939516129032258,113.22088368233783,115.42077562912176,-0.03142702781119908,0.36749720156223625,0.0,0.0,0.010680623186751568,-0.006318652528937657,-0.006318652528937657,-0.012637305057875314,0.3265359204453253,0.6378248487819338,1.0,follow,1,0,0,0,-1.0
1787282264.3243086,45.906967000007626,34.85301599999957,25.143572234031225,0.7641129032258064,115.29800133943294,116.81500629022348,-0.02167149929700766,0.1461128252810315,0.0,0.0,0.024987736047215495,0.0030732640439082885,0.0030732640439082876,0.004302569661471602,0.29947245617068124,0.6653690289819384,1.0,follow,1,0,0,0,-1.0
1787282264.3613312,38.922091000017645,33.28253400002268,25.25332786582146,0.7641129032258064,116.64558717944237,118.2893735139876,-0.023482661922074655,0.019096149681985482,0.0,0.0,0.03081742978805861,0.011396513767153383,0.011396513767153383,0.015955119274014735,0.25807398703339024,0.688722283581949,1.0,follow,1,0,0,0,-1.0
1787282264.404046,37.021023000022524,33.05788900001971,25.604998149229214,0.8125,117.7595234520512,120.07184835545779,-0.03303321290580844,0.007283607521707187,0.0,0.0,0.03263544665009025,0.01776819363203444,0.01776819363203444,0.024875471084848215,0.22431787091425298,0.7109348973819625,1.0,follow,1,0,0,0,-1.0
1787282264.4435613,42.928612999958204,35.4873649999945,25.142895838059722,0.8608870967741936,118.78966741372723,121.24662287512143,-0.03509936373420288,0.1940282206404492,0.0,0.0,0.03634894608031751,0.02334241936651936,0.02334241936651936,0.0326793871131271,0.21977442337318243,0.7366920651819374,1.0,follow,1,0,0,0,-1.0
1787282264.4828496,39.27335700001322,35.03692900000033,25.20682760604039,0.9576612903225807,119.03875665573506,122.42256881438468,-0.04834017369499455,0.07586727381764835,0.0,0.0,0.031195978082607084,0.025698486981345678,0.025698486981345678,0.035977881773883946,0.19818835093985232,0.7602560793819454,1.0,follow,1,0,0,0,-1.0
1787282264.5261254,39.39653800000542,34.2362199999684,25.2420502865665,0.9879032258064516,119.66717029496651,123.71503621924468,-0.05782665606111672,0.1585042336038106,0.0,0.0,0.03034920992322549,0.02709370386390962,0.02709370386390962,0.03793118540947347,0.19223573333944607,0.7838940021819486,1.0,follow,1,0,0,0,-1.0
1787282264.5670831,44.44914499998731,35.4605930000389,24.693164348334843,0.939516129032258,120.05772667120034,124.6395465408417,-0.0654545695663052,0.26978825445218657,0.0,0.0,0.02860991817530024,0.027548568157326807,0.027548568157326807,0.038567995420257524,0.2542777502296385,0.810563489181941,1.0,follow,1,0,0,0,-1.0
1787282264.6042492,39.71587500001306,32.83662899997353,24.79030118032834,0.939516129032258,120.16071453463783,125.10258039432567,-0.07059808370982625,0.24725271272141902,0.0,0.0,0.026035298012437313,0.027094587113859956,0.027094587113859956,0.03793242195940394,0.25322399460340556,0.8343930141819488,1.0,follow,1,0,0,0,-1.0
1787282264.6468582,37.175665000006575,33.67515399997956,25.21210435759945,0.8911290322580645,121.8903808509986,126.46632993669026,-0.06537070122416659,0.16278351245729022,0.0,0.0,0.038722498696881456,0.030582960588766406,0.030582960588766406,0.04281614482427297,0.23965792228148824,0.841597481703987,1.0,follow,1,0,0,0,-1.0
1787282264.6880455,43.770157999972525,35.70018599998548,24.739006722247126,0.939516129032258,123.17974139427605,128.82677389805218,-0.08067189291108738,0.18909408826094753,0.0,0.0,0.04067560669216537,0.033610754419786094,0.033610754419786094,0.04705505618770053,0.23207334717840714,0.8434272904913469,1.0,follow,1,0,0,0,-1.0
1787282264.7314339,40.054848000011134,39.24804300004325,24.784358765870586,0.939516129032258,124.37013623829475,130.52152491284437,-0.0878769810649944,0.10569470737384376,0.0,0.0,0.04481792126544837,0.03697290447348477,0.03697290447348477,0.05176206626287868,0.21311655120772263,0.8466270263273364,1.0,follow,1,0,0,0,-1.0
1787282264.7834861,43.45103000002837,38.39472600003546,24.430369844239692,0.939516129032258,125.40787227624074,132.0788065023043,-0.09529906037233644,0.035268346264682046,0.0,0.0,0.04766089337212759,0.04017930114307762,0.04017930114307762,0.05625102160030866,0.1954439275824147,0.8508239834355613,1.0,follow,1,0,0,0,-1.0
1787282264.825007,52.027221999992435,34.718270999974266,23.38843731350331,0.9879032258064516,126.13391130828093,134.7825470286129,-0.12355193886188504,0.12173898768938285,0.0,0.0,0.041169658637002095,0.04047640839125496,0.04047640839125496,0.056666971747756936,0.18466012927433523,0.8553477293757306,1.0,follow,1,0,0,0,-1.0
1787282264.8639538,41.4671979999639,34.875569000007545,23.533839175530453,0.939516129032258,126.93689698852103,134.58332598641152,-0.10923469996986403,0.287230395049327,0.0,0.0,0.050057514087757486,0.04335074010020572,0.04335074010020572,0.060691036140288,0.2667163418943287,0.8390155175950592,1.0,follow,1,0,0,0,-1.0
1787282264.9074078,38.96938500002989,33.48832299997184,23.959305272262053,0.7157258064516129,127.62487410718754,136.35488160801452,-0.12471439286895714,0.17174564276497195,0.0,0.0,0.04814775959342619,0.044789845948171855,0.044789845948171855,0.06270578432744059,0.2524707370249252,0.8273704756942255,1.0,follow,1,0,0,0,-1.0
1787282264.9455905,43.53400299999066,34.24267799999825,23.76155425175352,0.7641129032258064,128.4621353840784,136.89081041250955,-0.12040964326330206,0.25632488915991947,0.0,0.0,0.053929530648422125,0.04753175135824693,0.04753175135824693,0.06654445190154569,0.2555540587329206,0.8283478953003832,1.0,follow,1,0,0,0,-1.0
1787282264.981963,38.025543999992806,32.41103900001008,24.268865722651867,0.8608870967741936,128.6899645201576,140.64539627121388,-0.17079188215794708,0.05569982469406469,0.0,0.0,0.03705879023186162,0.04438986302033133,0.04438986302033133,0.062145808228463856,0.24283973224667457,0.8306749391810837,1.0,follow,1,0,0,0,-1.0
1787282265.0243363,36.52079300002242,32.572134000020014,24.891424923913583,0.939516129032258,129.52823158590553,141.81849587679227,-0.17557520415552486,0.1347733213039465,0.0,0.0010452051215050953,0.040214247563300526,0.043137178383222084,0.043137178383222084,0.06039204973651091,0.2327500530330021,0.8337059865017372,1.0,follow,1,0,0,0,-1.0
1787282265.0632322,42.87094400001479,34.36120700001766,24.578304298467835,0.939516129032258,130.07794989212846,143.83490474318452,-0.19652792644365807,0.1955812964500492,0.0,0.0,0.035634940668561405,0.04088650706882388,0.04088650706882388,0.05724110989635343,0.2273167340446005,0.8369120771519483,1.0,follow,1,0,0,0,-1.0
